ALEX_conv1,0.710165895,1,0.49149449
ALEX_conv2_1,0.372552083,0.906464335,0.222350823
ALEX_conv2_2,0.38530599,0.96539209,0.222350823
ALEX_conv3,0.346132632,0.527598003,0.38936144
ALEX_conv4,0.37244858,0.38936144,0.429178994
ALEX_conv5,0.368810583,0.429178994,0.16004068
VGG_conv1_1,0.565393519,1,0.506187595
VGG_conv1_2,0.217203776,0.506187595,0.774166185
VGG_conv2_1,0.338243273,0.89668741,0.786959278
VGG_conv2_2,0.35470242,0.786959278,0.596097985
VGG_conv3_1,0.529469808,0.813013194,0.638543577
VGG_conv3_2,0.235348172,0.638543577,0.688106615
VGG_conv3_3,0.417078654,0.688106615,0.492792869
VGG_conv4_1,0.320871141,0.706622688,0.501429967
VGG_conv4_2,0.265933143,0.501429967,0.451458367
VGG_conv4_3,0.342644162,0.451458367,0.218371333
VGG_conv5_1,0.352267795,0.392797353,0.330476722
VGG_conv5_2,0.286190457,0.330476722,0.305674027
VGG_conv5_3,0.362867991,0.305674027,0.14188058
inception_3a-pool_proj,0.46077474,0.956194196,0.464285714
inception_3a-1x1,0.37898763,0.708977732,0.664441167
inception_3a-3x3_reduce,0.413519965,0.708977732,0.663982781
inception_3a-3x3,0.451443142,0.663982781,0.489795918
inception_3a-5x5_reduce,0.355794271,0.708977732,0.77471301
inception_3a-5x5,0.340546875,0.77471301,0.486766582
inception_3b-pool_proj,0.460327148,0.86558813,0.146225287
inception_3b-1x1,0.407562256,0.529889788,0.328882334
inception_3b-3x3_reduce,0.462249756,0.529889788,0.515814334
inception_3b-3x3,0.488150137,0.515814334,0.202932345
inception_3b-5x5_reduce,0.382446289,0.529889788,0.651985013
inception_3b-5x5,0.460559896,0.651985013,0.163570897
inception_4a-pool_proj,0.479036458,0.868664966,0.133131378
inception_4a-1x1,0.450499132,0.55440051,0.305511267
inception_4a-3x3_reduce,0.448046875,0.55440051,0.618622449
inception_4a-3x3,0.480340767,0.618622449,0.168906986
inception_4a-5x5_reduce,0.417708333,0.55440051,0.760841837
inception_4a-5x5,0.4571875,0.760841837,0.235012755
inception_4b-pool_proj,0.398406982,0.555026307,0.360809949
inception_4b-1x1,0.346252441,0.221859056,0.691772959
inception_4b-3x3_reduce,0.344308036,0.221859056,0.720891035
inception_4b-3x3,0.413699334,0.720891035,0.455197704
inception_4b-5x5_reduce,0.350341797,0.221859056,0.785926871
inception_4b-5x5,0.421927083,0.785926871,0.365114796
inception_4c-pool_proj,0.408996582,0.821847098,0.288185587
inception_4c-1x1,0.373260498,0.506068638,0.630620217
inception_4c-3x3_reduce,0.391769409,0.506068638,0.568877551
inception_4c-3x3,0.4190979,0.568877551,0.396025989
inception_4c-5x5_reduce,0.364257813,0.506068638,0.650510204
inception_4c-5x5,0.399765625,0.650510204,0.336336097
inception_4d-pool_proj,0.399719238,0.749920281,0.136080995
inception_4d-1x1,0.38180106,0.433733259,0.36493258
inception_4d-3x3_reduce,0.41265191,0.433733259,0.443452381
inception_4d-3x3,0.430295675,0.443452381,0.228759212
inception_4d-5x5_reduce,0.385498047,0.433733259,0.638552296
inception_4d-5x5,0.425175781,0.638552296,0.298867985
inception_4e-pool_proj,0.387636127,0.544845779,0.173788265
inception_4e-1x1,0.342536695,0.254908782,0.287966358
inception_4e-3x3_reduce,0.395134943,0.254908782,0.642952806
inception_4e-3x3,0.371354167,0.642952806,0.261304209
inception_4e-5x5_reduce,0.369910038,0.254908782,0.805644133
inception_4e-5x5,0.422871094,0.805644133,0.158960459
inception_5a-pool_proj,0.334266076,0.799303375,0.199776786
inception_5a-1x1,0.312002329,0.499950942,0.384406888
inception_5a-3x3_reduce,0.327140925,0.499950942,0.56505102
inception_5a-3x3,0.361775174,0.56505102,0.309630102
inception_5a-5x5_reduce,0.313814603,0.499950942,0.694515306
inception_5a-5x5,0.357646484,0.694515306,0.269610969
inception_5b-pool_proj,0.314744216,0.569760597,0.147799745
inception_5b-1x1,0.319454878,0.309581044,0.215986395
inception_5b-3x3_reduce,0.329233023,0.309581044,0.301339286
inception_5b-3x3,0.366761007,0.301339286,0.205197704
inception_5b-5x5_reduce,0.329927885,0.309581044,0.459608844
inception_5b-5x5,0.34641276,0.459608844,0.155771684
